age,workclass,education,marital-status,occupation,race,sex,weekly_worked_hours,native-country,gross_income,capital_gains/loss
26, Private, Preschool, Married-spouse-absent, Machine-op-inspct, White, Male,40, Mexico, <=50K,-1719
40, Other, HS-grad, Married-civ-spouse, Other, Black, Female,20, United-States, <=50K,3464
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Female,8, Other, >50K,7298
39, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,7298
35, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K,-1740
58, Private, Some-college, Married-civ-spouse, Exec-managerial, White, Male,45, United-States, >50K,7688
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,3103
67, Other, Prof-school, Married-civ-spouse, Other, White, Male,10, United-States, >50K,6418
34, Federal-gov, Bachelors, Never-married, Exec-managerial, Asian-Pac-Islander, Male,40, Cambodia, <=50K,1471
50, Private, HS-grad, Married-civ-spouse, Tech-support, White, Male,40, United-States, >50K,-1848
37, Private, Bachelors, Separated, Prof-specialty, White, Female,32, United-States, >50K,4934
66, Other, Some-college, Married-civ-spouse, Other, White, Male,40, United-States, >50K,-1825
41, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, White, Male,40, United-States, <=50K,3464
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Black, Male,40, United-States, >50K,-1902
22, Other, HS-grad, Never-married, Other, Black, Male,30, United-States, <=50K,-1602
38, Federal-gov, Bachelors, Married-civ-spouse, Sales, White, Male,42, United-States, >50K,7688
36, Other, HS-grad, Married-civ-spouse, Other, White, Male,30, United-States, <=50K,3464
50, Federal-gov, 11th, Never-married, Sales, Black, Female,40, United-States, <=50K,3674
40, Private, Some-college, Married-civ-spouse, Other-service, White, Male,40, United-States, <=50K,-1485
39, Private, Masters, Married-civ-spouse, Prof-specialty, White, Female,18, United-States, >50K,-1902
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K,-1902
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, White, Male,45, United-States, >50K,5178
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Female,40, United-States, >50K,-1887
23, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female,40, United-States, <=50K,2105
42, Private, Bachelors, Never-married, Prof-specialty, White, Female,38, United-States, >50K,-1564
39, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,7298
20, Private, Assoc-acdm, Never-married, Other-service, White, Female,18, United-States, <=50K,-2205
43, Private, Some-college, Married-civ-spouse, Adm-clerical, White, Male,40, United-States, <=50K,5013
40, Local-gov, Masters, Never-married, Adm-clerical, White, Female,35, United-States, <=50K,-1876
73, Private, 1st-4th, Married-civ-spouse, Transport-moving, White, Male,20, United-States, <=50K,-1735
37, Private, Masters, Married-civ-spouse, Exec-managerial, White, Male,45, United-States, >50K,15024
26, Local-gov, Bachelors, Never-married, Prof-specialty, White, Female,35, United-States, <=50K,4865
49, State-gov, Masters, Divorced, Prof-specialty, Black, Female,40, United-States, >50K,7430
50, Private, Some-college, Married-civ-spouse, Craft-repair, White, Male,35, United-States, >50K,-1887
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,15024
62, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, White, Female,38, United-States, <=50K,-1258
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K,-2002
69, Private, HS-grad, Widowed, Adm-clerical, White, Female,40, United-States, <=50K,1848
54, State-gov, HS-grad, Separated, Adm-clerical, Black, Female,35, United-States, <=50K,3887
64, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male,40, United-States, <=50K,3471
51, Private, Some-college, Married-civ-spouse, Transport-moving, White, Male,40, United-States, <=50K,-2603
51, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States, >50K,4386
61, Private, Some-college, Married-civ-spouse, Adm-clerical, White, Male,40, United-States, >50K,7688
26, Private, Bachelors, Never-married, Craft-repair, White, Male,40, United-States, <=50K,3325
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,47, United-States, >50K,4386
39, Private, Prof-school, Married-civ-spouse, Exec-managerial, White, Female,47, United-States, >50K,15024
62, Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K,3103
53, Private, Some-college, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K,15024
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,-1485
31, State-gov, Assoc-acdm, Never-married, Adm-clerical, White, Female,35, United-States, <=50K,3325
35, State-gov, Bachelors, Never-married, Exec-managerial, Asian-Pac-Islander, Female,45, United-States, <=50K,2977
30, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, White, Female,37, United-States, >50K,-1485
69, Private, Bachelors, Widowed, Prof-specialty, White, Male,40, United-States, >50K,-2282
31, Private, Bachelors, Never-married, Exec-managerial, White, Male,38, United-States, <=50K,-1741
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,3103
78, Other, HS-grad, Married-civ-spouse, Other, White, Male,32, United-States, <=50K,2228
52, Private, HS-grad, Never-married, Prof-specialty, White, Female,40, United-States, <=50K,-323
29, Private, Some-college, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K,-1672
38, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,7688
23, Private, Some-college, Never-married, Adm-clerical, White, Female,40, United-States, <=50K,3674
28, Local-gov, Assoc-acdm, Never-married, Adm-clerical, White, Female,40, United-States, <=50K,-1980
42, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, White, Male,40, United-States, >50K,-1902
33, Private, HS-grad, Married-civ-spouse, Protective-serv, White, Male,16, United-States, <=50K,2635
19, Private, Some-college, Married-spouse-absent, Sales, White, Female,40, United-States, <=50K,-1602
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States, <=50K,2885
19, Other, Some-college, Never-married, Other, White, Female,10, United-States, <=50K,594
23, Private, HS-grad, Never-married, Sales, White, Male,48, United-States, <=50K,-1590
29, Self-emp-not-inc, Assoc-voc, Never-married, Adm-clerical, White, Female,40, United-States, <=50K,2174
51, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, White, Male,40, United-States, >50K,8614
38, Private, Some-college, Divorced, Adm-clerical, White, Female,44, United-States, <=50K,5721
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,3103
32, Federal-gov, Assoc-acdm, Divorced, Protective-serv, White, Male,40, United-States, <=50K,2174
30, Self-emp-inc, HS-grad, Divorced, Exec-managerial, White, Male,40, United-States, <=50K,4650
24, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Transport-moving, White, Male,40, United-States, >50K,-1902
48, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States, >50K,4386
32, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, White, Male,42, United-States, <=50K,-2002
23, Private, 11th, Never-married, Craft-repair, Asian-Pac-Islander, Male,40, Vietnam, >50K,14344
29, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, White, Male,40, United-States, >50K,5178
32, Private, HS-grad, Never-married, Machine-op-inspct, Black, Female,20, United-States, <=50K,-1602
25, Private, Bachelors, Never-married, Craft-repair, White, Male,35, United-States, <=50K,-1590
80, Other, Prof-school, Married-civ-spouse, Other, White, Male,10, United-States, >50K,10605
48, Local-gov, Masters, Divorced, Exec-managerial, Black, Female,40, United-States, >50K,9562
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,45, United-States, <=50K,-1672
52, Self-emp-inc, 10th, Married-civ-spouse, Sales, White, Male,45, United-States, <=50K,4064
22, Private, Some-college, Never-married, Other-service, White, Male,40, United-States, <=50K,3325
25, Private, Masters, Never-married, Prof-specialty, White, Female,31, United-States, <=50K,2597
36, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States, <=50K,2829
46, State-gov, Assoc-acdm, Divorced, Adm-clerical, White, Male,38, United-States, >50K,-2258
41, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, White, Male,45, United-States, >50K,7688
39, Private, HS-grad, Divorced, Other-service, Black, Female,40, United-States, <=50K,5455
36, Private, HS-grad, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,7688
55, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,48, United-States, >50K,15024
18, Other, Some-college, Never-married, Other, White, Female,20, United-States, <=50K,-1602
56, Private, HS-grad, Divorced, Prof-specialty, White, Female,40, United-States, <=50K,4101
57, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,15024
31, Private, Some-college, Never-married, Other-service, White, Male,16, United-States, <=50K,-1721
47, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, <=50K,3137
41, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K,-2179
69, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,45, United-States, >50K,6418
37, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, White, Male,40, United-States, >50K,5178
53, Federal-gov, HS-grad, Married-civ-spouse, Adm-clerical, White, Female,35, United-States, >50K,7688
45, Private, HS-grad, Divorced, Craft-repair, Asian-Pac-Islander, Male,40, United-States, >50K,10520
57, Private, Bachelors, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,-1902
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, White, Male,40, United-States, <=50K,4064
90, Other, HS-grad, Widowed, Other, White, Female,40, United-States, <=50K,-4356
43, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, White, Male,48, United-States, >50K,3103
90, Private, Bachelors, Married-civ-spouse, Sales, White, Male,15, United-States, >50K,9386
23, Private, Some-college, Never-married, Tech-support, White, Female,40, United-States, <=50K,4101
43, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male,40, United-States, <=50K,3908
58, Self-emp-not-inc, 1st-4th, Married-civ-spouse, Transport-moving, White, Male,18, United-States, <=50K,-2179
56, Private, Bachelors, Married-civ-spouse, Sales, Black, Male,45, United-States, >50K,7688
28, Private, Bachelors, Never-married, Exec-managerial, White, Female,40, Other, <=50K,-1408
50, Private, Bachelors, Married-civ-spouse, Tech-support, White, Male,40, United-States, >50K,15024
24, Private, Some-college, Married-civ-spouse, Adm-clerical, White, Male,40, United-States, >50K,7298
42, Private, Some-college, Divorced, Machine-op-inspct, White, Male,40, United-States, <=50K,-1590
54, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, White, Male,45, United-States, >50K,4386
38, Private, Bachelors, Divorced, Exec-managerial, White, Male,40, United-States, <=50K,3325
29, Private, Some-college, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,-1485
35, Private, Some-college, Married-civ-spouse, Sales, White, Male,40, United-States, <=50K,4064
77, Other, Masters, Married-civ-spouse, Other, White, Male,6, United-States, >50K,9386
70, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male,40, United-States, >50K,-2174
44, Local-gov, Prof-school, Never-married, Prof-specialty, White, Male,40, United-States, >50K,10520
21, Private, HS-grad, Never-married, Sales, White, Female,40, United-States, <=50K,4101
20, Private, HS-grad, Never-married, Adm-clerical, Black, Female,30, United-States, <=50K,-1721
72, Private, Bachelors, Married-civ-spouse, Sales, White, Male,6, United-States, <=50K,1455
51, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K,-1902
34, Private, Some-college, Married-civ-spouse, Handlers-cleaners, White, Male,40, United-States, >50K,-1887
25, Private, Bachelors, Never-married, Exec-managerial, White, Male,35, United-States, <=50K,4101
47, Private, Bachelors, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,-1977
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,-1902
28, Local-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, White, Male,40, England, <=50K,-2002
41, Private, Masters, Never-married, Prof-specialty, White, Female,35, United-States, >50K,27828
46, Private, Bachelors, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,99999
19, Private, 12th, Separated, Prof-specialty, White, Female,40, United-States, <=50K,1055
72, Other, Some-college, Married-civ-spouse, Other, White, Male,30, United-States, >50K,9386
35, State-gov, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,7298
41, Private, 5th-6th, Married-civ-spouse, Other-service, Other, Male,40, Nicaragua, <=50K,-1579
22, Private, Some-college, Never-married, Other-service, White, Male,10, United-States, <=50K,-1602
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Female,40, United-States, >50K,4386
59, Private, 11th, Married-civ-spouse, Other-service, White, Female,28, United-States, <=50K,3908
43, Private, Bachelors, Married-civ-spouse, Sales, White, Male,45, United-States, >50K,15024
40, Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Male,40, United-States, <=50K,2829
64, Private, Some-college, Married-civ-spouse, Exec-managerial, White, Female,35, United-States, <=50K,10566
53, Private, Some-college, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,-1977
21, Private, Some-college, Never-married, Tech-support, White, Male,16, United-States, <=50K,-1602
42, Private, HS-grad, Divorced, Transport-moving, White, Male,46, United-States, <=50K,-1980
27, Private, HS-grad, Married-civ-spouse, Transport-moving, White, Male,35, United-States, <=50K,3908
25, Private, Bachelors, Never-married, Sales, White, Female,40, United-States, <=50K,-1876
58, Private, 10th, Married-civ-spouse, Transport-moving, White, Male,40, United-States, >50K,-1887
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,7688
40, State-gov, Masters, Married-civ-spouse, Prof-specialty, White, Female,37, United-States, >50K,15024
44, Private, Some-college, Divorced, Transport-moving, White, Male,40, United-States, <=50K,-1380
70, Self-emp-not-inc, HS-grad, Widowed, Other-service, White, Female,20, United-States, <=50K,2329
46, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, White, Male,42, Other, >50K,-1902
40, Local-gov, Some-college, Divorced, Transport-moving, White, Male,40, United-States, <=50K,6849
31, Private, 11th, Never-married, Craft-repair, White, Male,40, United-States, <=50K,-2001
37, Private, HS-grad, Never-married, Handlers-cleaners, White, Female,40, Nicaragua, <=50K,3887
43, Local-gov, Masters, Never-married, Tech-support, Black, Female,47, United-States, >50K,8614
41, Private, Some-college, Married-civ-spouse, Sales, White, Male,40, United-States, <=50K,3942
60, Private, Some-college, Divorced, Prof-specialty, White, Male,42, United-States, <=50K,3325
53, Private, Assoc-voc, Divorced, Adm-clerical, Black, Female,40, United-States, <=50K,2202
38, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male,40, United-States, <=50K,-2042
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,7298
44, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, White, Male,45, United-States, >50K,4386
41, Private, HS-grad, Never-married, Machine-op-inspct, White, Female,40, Peru, <=50K,1831
37, State-gov, Bachelors, Never-married, Adm-clerical, White, Female,40, United-States, >50K,8614
49, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, White, Male,35, United-States, >50K,99999
70, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, White, Male,12, United-States, >50K,-2377
26, Private, Bachelors, Married-civ-spouse, Sales, White, Female,42, United-States, >50K,5178
24, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Female,45, United-States, >50K,7688
41, Self-emp-not-inc, HS-grad, Divorced, Transport-moving, White, Male,40, United-States, <=50K,-1590
47, Local-gov, Masters, Divorced, Prof-specialty, White, Female,45, United-States, <=50K,5455
49, Private, Bachelors, Married-civ-spouse, Sales, White, Male,44, United-States, <=50K,4064
35, Private, Bachelors, Never-married, Exec-managerial, White, Male,45, United-States, >50K,8614
51, Local-gov, Prof-school, Never-married, Prof-specialty, White, Male,40, United-States, <=50K,3325
30, Private, HS-grad, Married-civ-spouse, Transport-moving, White, Male,40, United-States, >50K,99999
37, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, White, Male,35, United-States, >50K,7688
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,45, United-States, >50K,-1977
39, Private, Bachelors, Never-married, Sales, White, Male,40, Germany, <=50K,-1092
57, Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K,3103
39, Private, HS-grad, Never-married, Tech-support, White, Male,44, United-States, <=50K,4650
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K,2885
56, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Male,40, China, <=50K,2885
35, Private, HS-grad, Never-married, Craft-repair, White, Male,40, United-States, <=50K,-1408
20, Other, Some-college, Never-married, Other, Asian-Pac-Islander, Female,40, Taiwan, <=50K,-1602
44, Private, Some-college, Married-civ-spouse, Sales, Asian-Pac-Islander, Male,40, United-States, >50K,-1902
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,-1977
47, Local-gov, Masters, Married-civ-spouse, Exec-managerial, White, Male,41, United-States, >50K,-1977
58, Private, Bachelors, Divorced, Adm-clerical, White, Female,40, United-States, >50K,14084
38, Private, 12th, Married-civ-spouse, Other-service, White, Male,40, United-States, <=50K,3942
76, Private, HS-grad, Married-civ-spouse, Sales, White, Male,24, United-States, <=50K,1424
68, Other, HS-grad, Married-civ-spouse, Other, White, Male,15, United-States, <=50K,1409
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,7688
47, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Black, Male,45, United-States, >50K,10520
63, Private, Bachelors, Married-civ-spouse, Sales, White, Male,40, Iran, >50K,15024
33, State-gov, HS-grad, Never-married, Other-service, Black, Female,40, United-States, <=50K,1831
41, Private, HS-grad, Widowed, Exec-managerial, White, Male,40, United-States, <=50K,914
43, Local-gov, Masters, Divorced, Prof-specialty, Black, Female,40, United-States, >50K,9562
73, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40, England, <=50K,3471
47, Private, HS-grad, Divorced, Sales, White, Male,40, United-States, <=50K,-1876
28, Private, HS-grad, Divorced, Sales, Amer-Indian-Eskimo, Male,40, United-States, >50K,14084
61, Other, HS-grad, Married-civ-spouse, Other, White, Male,32, United-States, <=50K,-2603
49, Local-gov, 9th, Widowed, Handlers-cleaners, White, Male,40, United-States, >50K,-2231
20, Private, Some-college, Never-married, Other-service, White, Male,25, United-States, <=50K,2176
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Female,36, United-States, >50K,15024
18, Private, HS-grad, Never-married, Sales, White, Female,30, United-States, <=50K,1055
50, Local-gov, Masters, Married-civ-spouse, Prof-specialty, White, Female,40, United-States, >50K,15024
51, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,15024
59, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, White, Male,20, United-States, >50K,7298
24, Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, <=50K,3908
56, Private, Bachelors, Never-married, Exec-managerial, White, Male,45, United-States, >50K,14084
40, Private, 7th-8th, Married-civ-spouse, Sales, White, Male,40, United-States, <=50K,4064
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,48, Ireland, <=50K,3137
32, Private, Bachelors, Never-married, Sales, White, Female,40, United-States, <=50K,-1590
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,45, United-States, >50K,-2246
52, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, White, Male,45, United-States, >50K,-1977
59, Private, HS-grad, Never-married, Exec-managerial, White, Female,38, United-States, <=50K,-625
44, Private, Some-college, Separated, Exec-managerial, White, Male,45, England, <=50K,-1980
47, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,45, United-States, >50K,-1902
25, Private, Some-college, Never-married, Adm-clerical, White, Male,40, United-States, <=50K,-1590
39, Private, HS-grad, Married-civ-spouse, Other-service, White, Female,40, United-States, <=50K,5013
27, Private, HS-grad, Widowed, Craft-repair, White, Female,26, United-States, <=50K,-1594
42, Private, HS-grad, Married-civ-spouse, Tech-support, Asian-Pac-Islander, Male,40, United-States, >50K,15024
48, Private, HS-grad, Never-married, Adm-clerical, White, Female,40, United-States, <=50K,2463
69, Private, Assoc-acdm, Divorced, Adm-clerical, White, Female,6, Germany, <=50K,2964
61, Other, Bachelors, Married-civ-spouse, Other, White, Male,15, United-States, >50K,4386
32, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male,40, United-States, <=50K,2829
65, Private, HS-grad, Widowed, Adm-clerical, White, Female,36, United-States, <=50K,-810
43, Private, HS-grad, Divorced, Handlers-cleaners, White, Male,16, United-States, <=50K,594
67, Other, HS-grad, Married-civ-spouse, Other, White, Male,11, United-States, <=50K,3818
34, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male,46, United-States, <=50K,3908
29, Private, Bachelors, Never-married, Sales, White, Female,45, United-States, <=50K,3325
45, Local-gov, Some-college, Divorced, Adm-clerical, Black, Female,35, United-States, <=50K,6497
36, Private, Bachelors, Married-civ-spouse, Sales, White, Male,45, United-States, >50K,-1902
63, Private, 11th, Married-civ-spouse, Protective-serv, White, Male,37, United-States, >50K,4386
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States, <=50K,5013
42, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K,-1977
18, Other, 11th, Never-married, Other, Black, Male,48, United-States, <=50K,-1602
27, Private, HS-grad, Married-civ-spouse, Prof-specialty, White, Male,45, United-States, >50K,-1848
52, Federal-gov, Masters, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, <=50K,5013
74, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, White, Male,20, United-States, <=50K,-2149
39, Federal-gov, Bachelors, Never-married, Adm-clerical, White, Male,40, United-States, <=50K,-1741
29, Private, Bachelors, Never-married, Exec-managerial, White, Female,45, United-States, >50K,-2258
23, Private, Bachelors, Never-married, Protective-serv, White, Female,40, United-States, <=50K,2907
35, Private, Some-college, Married-civ-spouse, Adm-clerical, White, Female,20, United-States, >50K,7688
47, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Male,40, Philippines, >50K,3103
38, Federal-gov, HS-grad, Married-civ-spouse, Transport-moving, White, Male,40, United-States, <=50K,-2051
51, Private, Masters, Married-civ-spouse, Protective-serv, White, Male,40, United-States, >50K,-1977
23, Private, Some-college, Never-married, Adm-clerical, White, Female,25, United-States, <=50K,-1617
57, Federal-gov, Bachelors, Never-married, Adm-clerical, White, Male,40, United-States, <=50K,-2258
69, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, White, Male,6, United-States, <=50K,1424
51, State-gov, Assoc-voc, Divorced, Tech-support, White, Male,39, United-States, >50K,-2444
32, Private, Some-college, Married-civ-spouse, Transport-moving, White, Male,45, United-States, >50K,-1485
65, Local-gov, Masters, Married-civ-spouse, Prof-specialty, White, Male,4, Greece, <=50K,-1648
59, Private, Prof-school, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Male,40, India, >50K,99999
18, Private, HS-grad, Never-married, Handlers-cleaners, White, Male,25, United-States, <=50K,2176
44, State-gov, Bachelors, Married-civ-spouse, Adm-clerical, White, Male,40, United-States, <=50K,5013
57, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K,3137
71, Other, Bachelors, Married-civ-spouse, Other, White, Male,30, United-States, >50K,9386
64, Other, 11th, Widowed, Other, White, Female,35, United-States, <=50K,3674
36, Private, Some-college, Married-civ-spouse, Sales, White, Male,45, United-States, >50K,7688
55, Private, Masters, Married-civ-spouse, Tech-support, White, Male,20, United-States, >50K,-1977
42, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,15024
26, Private, Assoc-voc, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K,-2002
25, Private, 10th, Never-married, Handlers-cleaners, Black, Male,40, United-States, <=50K,-1602
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,7688
34, Private, Some-college, Divorced, Transport-moving, White, Male,40, United-States, <=50K,2174
67, Private, Some-college, Married-civ-spouse, Transport-moving, White, Male,10, United-States, >50K,10605
45, Local-gov, Doctorate, Married-civ-spouse, Exec-managerial, White, Male,45, United-States, >50K,7688
58, Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,7688
20, Private, Some-college, Never-married, Prof-specialty, Black, Female,20, United-States, <=50K,594
29, Private, HS-grad, Divorced, Other-service, White, Male,40, United-States, >50K,10520
37, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, White, Male,40, United-States, >50K,7688
50, Private, Assoc-voc, Married-civ-spouse, Tech-support, White, Male,40, United-States, >50K,3103
21, Private, HS-grad, Never-married, Machine-op-inspct, White, Male,40, United-States, <=50K,2176
32, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,99999
25, Private, HS-grad, Never-married, Machine-op-inspct, White, Male,40, United-States, <=50K,4416
30, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,-1848
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, <=50K,5013
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States, >50K,7298
53, State-gov, Masters, Married-civ-spouse, Exec-managerial, White, Male,38, United-States, >50K,15024
28, Private, Bachelors, Never-married, Tech-support, White, Female,35, United-States, <=50K,-1980
72, Local-gov, Doctorate, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, <=50K,-1258
36, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,5178
21, Private, Some-college, Never-married, Protective-serv, Black, Female,40, United-States, >50K,99999
52, Private, Bachelors, Widowed, Other-service, White, Female,20, United-States, >50K,-2824
54, Private, HS-grad, Married-civ-spouse, Tech-support, White, Male,25, United-States, >50K,7688
60, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K,7298
28, State-gov, Bachelors, Never-married, Prof-specialty, White, Male,40, United-States, <=50K,6849
66, Federal-gov, Assoc-voc, Widowed, Other-service, Black, Female,40, United-States, <=50K,3273
45, Federal-gov, Bachelors, Married-civ-spouse, Adm-clerical, White, Male,45, United-States, <=50K,5013
54, Private, Some-college, Married-civ-spouse, Craft-repair, White, Male,40, Germany, >50K,3103
60, Federal-gov, HS-grad, Married-civ-spouse, Tech-support, White, Male,40, United-States, >50K,-1977
50, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States, <=50K,-1485
34, Private, Assoc-voc, Married-spouse-absent, Adm-clerical, White, Female,40, United-States, <=50K,-974
34, Private, Some-college, Married-civ-spouse, Prof-specialty, White, Male,38, United-States, >50K,-1902
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Black, Male,48, United-States, >50K,-1887
52, Local-gov, 10th, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K,5013
36, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K,-1887
